num_voters,title,url,avg_rating,rank,geek_rating,release_date
233.0,Monster Trap,/boardgame/98122/monster-trap,6.39,4669,5.657,2011
200.0,Career Poker,/boardgame/602/career-poker,6.59,4767,5.652,1988
223.0,Justice League: Hero Dice – Batman,/boardgame/184371/justice-league-hero-dice-batman,6.58,4768,5.652,2015
164.0,Sports Illustrated Baseball,/boardgame/4642/sports-illustrated-baseball,7.11,4472,5.669,1972
444.0,Gobblet Gobblers,/boardgame/13230/gobblet-gobblers,6.16,4473,5.669,2003
121.0,VENOM Assault,/boardgame/174802/venom-assault,7.56,4176,5.689,2016
226.0,Albion's Legacy,/boardgame/158973/albions-legacy,7.02,4177,5.689,2015
168.0,Lucidity: Six-Sided Nightmares,/boardgame/222145/lucidity-six-sided-nightmares,7.05,4965,5.642,2018
369.0,Captain Park's Imaginary Polar Expedition,/boardgame/3133/captain-parks-imaginary-polar-expedition,6.08,4966,5.642,2002
127.0,Air & Armor,/boardgame/6431/air-armor,7.62,4079,5.696,1986
152.0,The Speed of Heat,/boardgame/7251/speed-heat,7.37,4080,5.696,1992
339.0,Prohis,/boardgame/165563/prohis,6.29,4274,5.681,2014
311.0,Animal Upon Animal: Small and Yet Great!,/boardgame/104805/animal-upon-animal-small-and-yet-great,6.33,4275,5.681,2011
122.0,Legends of the Old West,/boardgame/15235/legends-old-west,7.29,4584,5.663,2004
138.0,The Convicted,/boardgame/152846/convicted,7.37,4585,5.663,2014
464.0,Camden,/boardgame/2960/camden,6.27,3990,5.704,2002
420.0,Tomorrow,/boardgame/89342/tomorrow,6.39,3991,5.704,2013
152.0,1865: Sardinia,/boardgame/87907/1865-sardinia,7.67,3588,5.744,2011
285.0,Catch the Moon,/boardgame/218129/catch-moon,6.75,3589,5.744,2017
416.0,Napoleon at Waterloo,/boardgame/3573/napoleon-waterloo,6.57,3390,5.768,1971
280.0,Battle Merchants,/boardgame/59936/battle-merchants,6.85,3391,5.768,2014
182.0,No Retreat!,/boardgame/38877/no-retreat,7.89,2994,5.823,2008
233.0,Sergeants Miniatures Game: Day of Days,/boardgame/101929/sergeants-miniatures-game-day-days,7.71,2995,5.823,2011
140.0,Hero of Weehawken,/boardgame/100169/hero-weehawken,7.55,3688,5.733,2011
370.0,BANG!: The Walking Dead,/boardgame/160567/bang-walking-dead,6.56,3689,5.733,2014
293.0,Small Star Empires,/boardgame/178044/small-star-empires,7.3,2898,5.837,2016
545.0,Tomb: Cryptmaster,/boardgame/43320/tomb-cryptmaster,6.59,2899,5.837,2009
674.0,Sole Mio!,/boardgame/13530/sole-mio,6.28,3192,5.792,2004
722.0,Canyon,/boardgame/436/canyon,6.24,3193,5.792,1997
300.0,Anno Domini: Sex & Crime,/boardgame/17997/anno-domini-sex-crime,6.79,3294,5.778,1998
530.0,In a Grove,/boardgame/102181/grove,6.37,3295,5.778,2011
138.0,"Ici, c'est la France! The Algerian War of Independence 1954 - 1962",/boardgame/29379/ici-cest-la-france-algerian-war-independence-1954,7.76,3883,5.713,2009
222.0,BrilliAnts,/boardgame/181265/brilliants,7.27,3884,5.713,2017
283.0,Doctor Panic,/boardgame/171037/doctor-panic,6.39,4388,5.674,2016
969.0,Arena Maximus,/boardgame/7719/arena-maximus,5.9,4389,5.674,2003
137.0,Kasserine,/boardgame/2298/kasserine,7.06,4670,5.657,2001
522.0,Cape Horn,/boardgame/134/cape-horn,6.01,4671,5.657,1999
216.0,24/7: The Game,/boardgame/25182/247-game,6.47,4769,5.652,2006
240.0,Spectral Rails,/boardgame/21469/spectral-rails,6.35,4770,5.652,2011
164.0,Kardinal & König: Das Kartenspiel,/boardgame/2610/kardinal-konig-das-kartenspiel,6.83,4474,5.669,2001
202.0,ORC,/boardgame/192830/orc,6.65,4475,5.669,2016
373.0,Adventure Time Fluxx,/boardgame/178209/adventure-time-fluxx,6.49,4178,5.689,2015
386.0,Dogfight,/boardgame/1509/dogfight,6.3,4179,5.689,1962
232.0,West of Africa,/boardgame/191038/west-africa,6.36,4967,5.642,2016
472.0,Mighty Empires,/boardgame/52/mighty-empires,6.12,4968,5.642,1990
507.0,Hornet,/boardgame/71272/hornet,6.24,4081,5.696,2010
578.0,Sky Traders,/boardgame/121958/sky-traders,6.18,4082,5.696,2012
387.0,Fun Farm,/boardgame/145501/fun-farm,6.25,4276,5.681,2013
141.0,Great War at Sea: Jutland,/boardgame/20889/great-war-sea-jutland,7.19,4277,5.681,2006
388.0,Why Did the Chicken...?,/boardgame/10559/why-did-chicken,6.12,4586,5.663,2004
151.0,Anno Domini: Lifestyle,/boardgame/17030/anno-domini-lifestyle,6.84,4587,5.663,1998
590.0,Who's the Ass?,/boardgame/11104/whos-ass,6.07,3992,5.704,2004
235.0,APBA Pro Baseball,/boardgame/895/apba-pro-baseball,6.86,3993,5.704,1951
198.0,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",/boardgame/27965/tide-sunrise-russo-japanese-war-1904-1905,7.17,3590,5.744,2010
369.0,Kanzume Goddess,/boardgame/127920/kanzume-goddess,6.61,3591,5.744,2012
262.0,The Undercity: An Iron Kingdoms Adventure Board Game,/boardgame/175334/undercity-iron-kingdoms-adventure-board-game,7.15,3392,5.767,2015
